封面,A,B,C,D
0_0_0 '封面',1_1_1 '雙人宿舍夜',2_1_1 '農場夜',3_1_1 '女主家C男房間晚一',4_1_1 'D女房間'
,1_1_2 '女主書桌',2_2_1 'B男宿舍夜',3_2_1 '鳥籠青鳥區',4_2_1 'D女房間'
,1_1_3 'A女書桌',2_2_2 '排球場',3_2_2 '鳥籠植物造景區',4_3_1 'D女房間二'
,1_2_1 '雙人宿舍日',2_3_1 '女主家裡房間一',3_3_1 '女主家客廳',4_4_1 'D女房間二'
,1_2_2 '博雅',2_3_2 '女主家裡房間二',3_4_1 '女主家C男房間晚二',4_4_2 'D女抽屜'
,1_2_3' 女主書桌',2_4_1 '女主家裡房間二',,
,1_2_4 '女主書桌的抽屜',,,
,1_2_5 'A女書桌',,,
,1_3_1 '雙人宿舍日',,,
,1_3_2 '行政大樓',,,
,1_3_3' 女主書桌',,,
,1_3_4 '女主書桌的抽屜',,,
,1_3_5 'A女書桌',,,
,1_4_1 '雙人宿舍日',,,
,1_4_2' 女主書桌',,,
,1_4_3 '女主書桌的抽屜',,,
,1_4_4 'A女書桌',,,
