物件一覽表,所在地點,取得章節,功能,文字說明,左下,右上
A女床,1_1_1 '雙人宿舍夜',,X,我的床。我現在不想睡覺啦！,"(0.0,0.0)","(0.17578125,0.10138888888888886)"
女主床,1_1_1 '雙人宿舍夜',一,X,孟亦安的床。很私人欸...還是先不要碰好了。,"(0.8328125,0.0)","(0.99921875,0.10972222222222228)"
窗戶,1_1_1 '雙人宿舍夜',,X,宿舍的窗戶。孟亦安常常在窗戶邊看著樓下，不知道在想甚麼...。,"(0.20703125,0.6666666666666667)","(0.8296875,0.9972222222222222)"
盆栽,1_1_1 '雙人宿舍夜',,X,是孟亦安的常春藤。你問我花語是甚麼？我怎麼會知道這種事情。,"(0.31484375,0.5333333333333333)","(0.346875,0.5986111111111111)"
書櫃的精緻相框(左下,1_1_1 '雙人宿舍夜',,X,我的相框。沒有甚麼特別的。,"(0.39375,0.22777777777777775)","(0.45390625,0.2958333333333333)"
書櫃裡的書(左上),1_1_1 '雙人宿舍夜',,X,課本。沒有甚麼特別的。,"(0.27109375,0.3833333333333333)","(0.353125,0.4902777777777778)"
A女書桌,1_1_1 '雙人宿舍夜',,切換場景,A女書桌,"(0.0,0.14583333333333337)","(0.19921875,0.5486111111111112)"
女主書桌,1_1_1 '雙人宿舍夜',,切換場景,女主書桌,"(0.82109375,0.14861111111111114)","(0.9984375,0.5319444444444444)"
揉爛的成績單,1_1_2 '女主書桌',,X,看起來是期中考的成績單，但不知道為何被揉爛了...,"(0.88046875,0.6569444444444444)","(0.946875,0.7236111111111111)"
2B鉛筆,1_1_2 '女主書桌',,X,不是考試用的筆，而且感覺用很久了。,"(0.259375,0.3902777777777777)","(0.28046875,0.4555555555555556)"
孟亦安的抽屜一,1_1_2 '女主書桌',,開鎖,打不開，應該是被鎖住了。,"(0.0,0.08333333333333337)","(0.48515625,0.2861111111111111)"
孟亦安的抽屜二,1_1_2 '女主書桌',二,切換場景,女主書桌的抽屜,"(0.0,0.08333333333333337)","(0.48515625,0.2861111111111111)"
鉛筆盒,1_1_2 '女主書桌',,X,裡面有很多原子筆。,"(0.090625,0.4097222222222222)","(0.22890625,0.5319444444444444)"
