物件一覽表,所在地點,取得章節,功能,文字說明,左下,右上
左上角書架上的資料夾,3_1_1 '女主家C男房間(晚)',,線索,"這個資料夾放著我的開庭資料。哎呀，有一張紙掉出來了。
（獲得道具：一審開庭資料）","(0.1109375,0.9421613394216134)","(0.17421875,0.9939117199391172)"
一審開庭資料,道具欄,一,道具,目前接手的案子，右下角有用橡皮擦塗改過的痕跡，已經看不清楚了，該怎麼辦呢。,,
鉛筆,3_1_1 '女主家C男房間(晚)',一,道具,2B鉛筆，用來素描或是畫圖都很好用。,"(0.15078125,0.33333333333333337)","(0.20078125,0.38333333333333337)"
六法全書,3_1_1 '女主家C男房間(晚)',,X,律師必備的六法全書。這本我從大學用到現在了。,"(0.7859375,0.4505327245053272)","(0.83125,0.5251141552511416)"
綠色抱枕,3_1_1 '女主家C男房間(晚)',,X,綠色抱枕，躺起來特別舒服。,"(0.6625,0.35768645357686457)","(0.7625,0.4901065449010654)"
黑膠唱片機,3_1_1 '女主家C男房間(晚)',,X,費小清的唱片。但現在不是聽黑膠的時候。,"(0.23125,0.4307458143074582)","(0.34765625,0.4840182648401826)"
單眼相機,3_1_1 '女主家C男房間(晚)',,X,歐西牌的單眼相機。現在沒有電了。,"(0.08203125,0.6544901065449011)","(0.109375,0.6864535768645358)"
青鳥,3_2_1 '鳥籠青鳥區',,X,這個鳥籠囚禁了我，另一個鳥籠囚禁了我的妹妹，我這裡有那隻籠子的鑰匙，但到了現在也遺失了。,"(0.43984375,0.4444444444444444)","(0.546875,0.6362252663622527)"
青鳥的淚水,3_2_1 '鳥籠青鳥區',,開鎖,青鳥因悲傷而流出的淚水。,"(0.55078125,0.5829528158295282)","(0.575,0.634703196347032)"
花灑,3_2_2 '鳥籠植物造景區',二,道具,一般的花灑，但是裡面沒有任何水可以澆花。,"(0.73046875,0.08371385083713856)","(0.83046875,0.18371385083713856)"
花苞(左),3_2_2 '鳥籠植物造景區',,X,來不及了，已經死掉了。,"(0.3515625,0.29375951293759517)","(0.41875,0.3835616438356164)"
花苞(右),3_2_2 '鳥籠植物造景區',,開鎖,"不知道是哪一種花的花苞。還活著，但是急需灌溉。
使用道具[裝著青鳥淚水花灑]：「花苞綻放了。等等！裡面是一把鑰匙！」","(0.490625,0.6057838660578387)","(0.5359375,0.665144596651446)"
木頭櫃子,3_2_2 '鳥籠植物造景區',,X,木頭櫃子。很堅固。,"(0.37578125,0.4003044140030442)","(0.57109375,0.5418569254185692)"
錄音機,3_2_2 '鳥籠植物造景區',,X,「哥哥等等換我了！」「好阿哈哈哈~」「那妳%$@%%.....」聽起來是小孩子在玩樂，但後面就聽不清楚了...。,"(0.45390625,0.2861491628614916)","(0.52109375,0.3561643835616438)"
紙條,3_2_2 '鳥籠植物造景區',,線索,「這是需要用『感情』灌溉的花。唯有真摯的情感灌溉才能使花苞綻放。」,"(0.58046875,0.243531202435312)","(0.59765625,0.27549467275494677)"
盆栽(左),3_2_2 '鳥籠植物造景區',,X,只是一盆普通的盆栽。,"(0.5359375,0.24200913242009137)","(0.5796875,0.3789954337899544)"
盆栽(右),3_2_2 '鳥籠植物造景區',,X,只是一盆普通的盆栽。,"(0.6015625,0.2526636225266362)","(0.6375,0.3744292237442922)"
裝著青鳥淚水的花灑,道具欄,二,道具,用花灑裝了青鳥的眼淚。,,
鳥籠鑰匙,道具欄,二,道具,八哥鳥籠的鑰匙。,,
小鏟子,3_3_1 '女主家客廳',三,道具,家居必備萬用小鏟子。,"(0.01640625,0.7899543378995434)","(0.05625,0.8097412480974124)"
客廳的盆栽,3_3_1 '女主家客廳',,開鎖,爸爸某次心血來潮，在花市買的盆栽。,"(0.0078125,0.4490106544901066)","(0.03125,0.482496194824962)"
收納箱鑰匙,道具欄,三,道具,收納箱的鑰匙。竟然被爸爸藏在盆栽裡面，這只有解謎遊戲才會出現吧...。,,
上鎖的收納箱,3_3_1 '女主家客廳',三,開鎖,爸爸很愛把鑰匙藏在找不到的地方，現在好了吧，自己都打不開了...。,"(0.01875,0.06240487062404876)","(0.18203125,0.26331811263318117)"
魚缸,3_3_1 '女主家客廳',,X,家裏的魚缸。魚死得特別快，也不知道是甚麼原因。,"(0.503125,0.35159817351598177)","(0.53828125,0.3835616438356164)"
白色沙發抱枕,3_3_1 '女主家客廳',,X,白色素色抱枕，很好躺。,"(0.85,0.29680365296803657)","(0.88125,0.3409436834094368)"
不像小貓的小貓玩偶,3_3_1 '女主家客廳',,x,長的很奇怪的小貓玩偶...。,"(0.62109375,0.4140030441400304)","(0.6453125,0.467275494672755)"
小貓玩偶,道具欄,三,道具、觸發,這是...我親手做的小貓玩偶。,,
左上角書架上的資料夾,3_4_1 '女主家C男房間晚二',,X,這個資料夾放著我的開庭資料。,"(0.1109375,0.9421613394216134)","(0.17421875,0.9939117199391172)"
六法全書,3_4_1 '女主家C男房間晚二',,X,律師必備的六法全書。這本我從大學用到現在了。,"(0.7859375,0.4505327245053272)","(0.83125,0.5251141552511416)"
綠色抱枕,3_4_1 '女主家C男房間晚二',,X,綠色抱枕，躺起來特別舒服。,"(0.6625,0.35768645357686457)","(0.7625,0.4901065449010654)"
黑膠唱片機,3_4_1 '女主家C男房間晚二',,X,費小清的唱片。但現在不是聽黑膠的時候。,"(0.23125,0.4307458143074582)","(0.34765625,0.4840182648401826)"
單眼相機,3_4_1 '女主家C男房間晚二',四,開鎖,歐西牌的單眼相機。現在沒有電了。,"(0.08203125,0.6544901065449011)","(0.109375,0.6864535768645358)"
西裝,3_4_1 '女主家C男房間晚二',,線索,"我的西裝。剛從事務所回來，先丟在椅子上吧。等等，我怎麼把抽屜鑰匙一起帶出去了呢。
(獲得道具：Ｃ男抽屜鑰匙)","(0.3703125,0.20243531202435316)","(0.41875,0.3318112633181126)"
C男抽屜,3_4_1 '女主家C男房間晚二',,開鎖,"抽屜。
（獲得道具：充電器、沒電的電池）","(0.165625,0.213089802130898)","(0.278125,0.3409436834094368)"
C男抽屜鑰匙,道具欄,四,道具,抽屜鑰匙。,,
沒電的電池,道具欄,四,道具,沒電的電池，需要充電了。,,
充電器,道具欄,四,道具、開鎖,歐西牌的充電器。,,
充飽電的電池,道具欄,四,道具,充飽電的電池。還不趕快裝進去單眼。,,
可看相片的單眼相機,道具欄,四,道具、觸發,,,
