物件一覽表,所在地點,取得章節,功能,文字說明,左下,右上
粉底盒,道具欄,一,道具,一個普通的粉底盒。上面鑲了<孟亦安>和我的照片。,,
小熊玩偶,4_1_1 'D女房間',一、二、三,X,書桌上的小熊玩偶。可愛！,"(0.39453125,0.5833333333333333)","(0.48203125,0.675)"
床底,4_1_1 'D女房間',一,開鎖,床底下的縫隙太小了，我的手伸不進去。,"(0.27890625,0.011111111111111072)","(0.3671875,0.26111111111111107)"
化妝檯,4_1_1 'D女房間',一,開鎖,化妝檯。似乎少了些化妝品。,"(0.50625,0.5888888888888889)","(0.6046875,0.6777777777777778)"
左上櫃,4_1_1 'D女房間',一、二、三,X,櫃子裡甚麼都沒有。,"(0.0875,0.7138888888888889)","(0.36875,1.0)"
粉色禮服,4_1_1 'D女房間',一、二、三,X,上次十系聯合舞會穿的禮服。,"(0.065625,0.047222222222222276)","(0.25703125,0.32638888888888884)"
貓咪,4_1_1 'D女房間',一、二、三,X,我養的貓咪。「喵嗚～喵喵，喵？」,"(0.2671875,0.5805555555555555)","(0.35234375,0.6805555555555556)"
木製小盒子,4_1_1 'D女房間',一,開鎖,木製小盒子。,"(0.10546875,0.5875)","(0.153125,0.6430555555555555)"
長尺,4_1_1 'D女房間',一,道具,很長的折疊尺。,"(0.71640625,0.5513888888888889)","(0.78125,0.5972222222222222)"
木盒的鑰匙,道具欄,一,道具,木盒的鑰匙。,,
淺草寺明信片,4_1_1 'D女房間',一、二、三,X,孟亦安去日本玩時寄給我的明信片。上面寫著:「我在淺草寺天氣晴！」不過我昨天不小心把房間鑰匙掉到電視櫃底下，害我費了好一番功夫才用長尺把它勾出來。,"(0.81875,0.5444444444444445)","(0.896875,0.6402777777777777)"
D女抽屜一,4_1_1 'D女房間',一、二,X,很久沒有打開的抽屜。鎖住的。,"(0.78671875,0.4375)","(0.90546875,0.5277777777777778)"
小書包吊飾,道具欄,二,道具、觸發,,,
密碼鎖小盒子,道具欄,二,道具、解碼,孟亦安留給我的盒子。密碼:「我」「你」「你」「我」。,,
紙條,4_1_1 'D女房間',一、二,,"孟亦安畢業前寫給我的小卡片，寫著:「我」除了「你」，還是「你」。
原來我掉在這裡了，等等撿起來。","(0.89765625,0.0444444444444444)","(0.9296875,0.12083333333333335)"
右上櫃一,4_2_1 'D女房間',一、二,X,這個櫃子似乎卡住了。需要工具。,"(0.80234375,0.75)","(0.93046875,1.0013888888888889)"
右上櫃二,4_2_1 'D女房間',三,開鎖,這個櫃子似乎卡住了。需要工具撬開。,"(0.80234375,0.75)","(0.93046875,1.0013888888888889)"
螺絲起子,道具欄,三,道具,別人遺失的螺絲起子。為甚麼是叫我保管阿...。欸等等這好像可以用來做些什麼...？,,
D女抽屜二,4_2_1 'D女房間',三,開鎖,很久沒有打開的抽屜。鎖住的。,"(0.78671875,0.4375)","(0.90546875,0.5277777777777778)"
D女抽屜鑰匙,道具欄,三,道具,抽屜鑰匙。,,
歐希土勒夫香水,4_4_2 'D女抽屜',三,觸發,,"(0.3,0.36111111111111116)","(0.38046875,0.48750000000000004)"
床底,4_3_1 'D女房間二',四,X,床底下的縫隙太小了，我的手伸不進去。,"(0.27890625,0.011111111111111072)","(0.3671875,0.26111111111111107)"
化妝檯,4_3_1 'D女房間二',四,x,化妝檯。,"(0.50625,0.5888888888888889)","(0.6046875,0.6777777777777778)"
左上櫃,4_3_1 'D女房間二',四,X,櫃子裡甚麼都沒有。,"(0.0875,0.7138888888888889)","(0.36875,1.0)"
淺草寺明信片,4_3_1 'D女房間二',四,X,孟亦安去日本玩時寄給我的明信片。上面寫著:「我在淺草寺天氣晴！」不過我昨天不小心把房間鑰匙掉到電視櫃底下，害我費了好一番功夫才用長尺把它勾出來。,"(0.81875,0.5444444444444445)","(0.896875,0.6402777777777777)"
心輔中心宣傳單,4_3_1 'D女房間二',四,X,開學時心輔中心發的傳單。等等，電話號碼怎麼被咬掉了？一定是牠...。,"(0.2671875,0.5805555555555555)","(0.35234375,0.6805555555555556)"
右上櫃二,4_3_1 'D女房間二',四,X,櫃子。,"(0.80234375,0.75)","(0.93046875,1.0013888888888889)"
客廳貓咪,4_4_2 'D女客廳',四,開鎖,生氣狀。「喵！喵喵嗚！」(翻譯:生氣了！我要吃東西！),"(0.26328125,0.30833333333333335)","(0.3390625,0.3916666666666667)"
貓咪的食物,4_4_2 'D女客廳',四,線索,"歐西貓食。給牠吃一點就好。
(獲得道具:貓食)","(0.89453125,0.20416666666666672)","(0.95390625,0.28888888888888886)"
貓食,道具欄,四,道具,營養滿分的歐西貓食！,,
心輔中心電話號碼,4_4_2 'D女客廳',四,道具,心輔中心電話號碼。,,
電話,4_4_2 'D女客廳',四,開鎖,家裡的電話。,"(0.265625,0.14166666666666672)","(0.38046875,0.25277777777777777)"
