章節,場景,人物,對話,取得道具
1_2,博雅,路人甲,"(手指在鍵盤上快速滑動著)
這位同學，請不要打擾我好嗎？
我正在忙著回覆NTU交流版的訊息呢。",X
1_2,博雅,路人乙,"欸欸這位同學！你知道嗎？
竟然有人會把鑰匙貼在照片背後，再貼在牆壁上耶！
我回宿舍之後也要試試看。",X
1_2,博雅,路人丙,你好。今天天氣真好呢，妳說是嗎？,X
1_3,行政大樓,美美姐,"欸～詠晴你來了阿!你的室友是不是叫做...孟亦安啊？
他上次繳交的資料不完整，被我退件了，但是一直沒有來領取。
你幫我順便拿給他好了。
(獲得道具:社團資料上半部)",社團資料上半部
1_3,行政大樓,宜均姐,"詠晴阿～
要不要吃餅乾？",X
1_3,行政大樓,韻萱姐,"嗨～詠晴你怎麼會來呢？
話說快要到下學期了，有沒有興趣參加社團呢？
要不要考慮去畢聯會呢～
等你的消息喔。",X
2_2,排球場,舊體常客,同學很晚了，趕快回家喔！,X
2_2,排球場,體育器材室阿姨,"你是不是在找排球啊?我昨天晚上撿到一顆球，應該是你的。
(獲得道具:泥濘的排球)",泥濘的排球
2_2,排球場,體育課老師,楊承恩你這麼晚了還一個人來打排球阿，加油喔！,X
4_2,高中,高中國文老師,"大雨滂沱也沒關係的，終有雨停雲開的時候
終有得朗日澄天的時候",X
4_2,高中,校門警衛,"同學！請記得換證喔！
喔～原來是小彤阿～來來來趕快進去。",X
4_2,高中,數學老師兼班導,"小彤～你來了！亦安畢業前寄放了一個小盒子在我這裡，現在我把他交給你！
(獲得道具:密碼鎖小盒子)什麼？他沒跟你說密碼？
身為數學老師，就讓我提點你吧！九除以三還是三。",密碼鎖小盒子
4_3,計中,系上同學,嗨～你也來印講義嗎？每學期都有一百元可以影印真的很不錯呢！,X
4_3,計中,高中同學,"這不是小彤嘛！怎麼最近都沒有看到妳跟亦安啊？
我要趕課了不能跟妳聊，但我剛剛撿到了遺失物，妳能幫我發NTU交流版嗎？
就麻煩妳啦！(獲得道具：別人遺失的螺絲起子)",螺絲起子
4_3,計中,服務檯人員,"您好，很高興為您服務！
您只是路過嗎？好的，歡迎下次再來。",X
